"Fecha","Code","D","I","L","R","S","Total_I","Estado"
2020-02-14,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-02-15,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-02-16,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-02-17,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-02-18,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-02-19,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-02-20,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-02-21,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-02-22,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-02-23,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-02-24,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-02-25,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-02-26,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-02-27,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-02-28,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-02-29,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-03-01,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-03-02,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-03-03,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-03-04,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-03-05,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-03-06,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-03-07,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-03-08,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-03-09,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-03-10,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-03-11,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-03-12,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-03-13,"BCN",0,0,0,0,NA,0,"BAJA CALIFORNIA"
2020-03-14,"BCN",0,0,0,0,11,0,"BAJA CALIFORNIA"
2020-03-15,"BCN",0,0,0,0,10,0,"BAJA CALIFORNIA"
2020-03-16,"BCN",0,0,0,0,15,0,"BAJA CALIFORNIA"
2020-03-17,"BCN",0,0,0,0,16,0,"BAJA CALIFORNIA"
2020-03-18,"BCN",0,1,1,0,25,2,"BAJA CALIFORNIA"
2020-03-19,"BCN",0,1,1,0,35,2,"BAJA CALIFORNIA"
2020-03-20,"BCN",0,2,2,0,45,4,"BAJA CALIFORNIA"
2020-03-21,"BCN",0,5,3,0,36,8,"BAJA CALIFORNIA"
2020-03-22,"BCN",0,7,4,0,36,11,"BAJA CALIFORNIA"
2020-03-23,"BCN",0,8,5,NA,47,13,"BAJA CALIFORNIA"
2020-03-24,"BCN",0,8,5,NA,95,13,"BAJA CALIFORNIA"
2020-03-25,"BCN",0,8,6,NA,116,14,"BAJA CALIFORNIA"
2020-03-26,"BCN",0,11,8,NA,136,19,"BAJA CALIFORNIA"
2020-03-27,"BCN",0,12,8,NA,148,20,"BAJA CALIFORNIA"
2020-03-28,"BCN",0,12,8,NA,140,20,"BAJA CALIFORNIA"
2020-03-29,"BCN",0,13,10,NA,152,23,"BAJA CALIFORNIA"
2020-03-30,"BCN",0,13,14,NA,135,27,"BAJA CALIFORNIA"
2020-03-31,"BCN",0,16,19,NA,174,35,"BAJA CALIFORNIA"
2020-01-23,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-01-24,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-01-25,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-01-26,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-01-27,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-01-28,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-01-29,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-01-30,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-01-31,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-02-01,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-02-02,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-02-03,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-02-04,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
2020-02-05,"BCS",0,0,0,0,NA,0,"BAJA CALIFORNIA SUR"
